num_pozo,nom_pozo,cve_acui,nom_acuif,nom_edo,latitud,longitud,anio_primero,anio_ultimo,pne_primero_m,pne_ultimo_m,delta_pne_m,tasa_abatimiento_m_anio,n_obs,nivel_estres,id_colonia,colonia,alcaldia,en_poniente,label,dist_colonia_m,en_bbox_piloto
5072,0.20039999999999999,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.245867,-99.102107,1997.0,2025.0,34.83,68.5,33.67,1.2025000000000001,24,ALTO,13090.0,San Lorenzo Atemoaya,Xochimilco,False,San Lorenzo Atemoaya — Xochimilco,0.0,False
5073,0.21460000000000001,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.209528,-98.969472,1996.0,2025.0,31.35,50.0,18.65,0.643103448275862,28,MEDIO,12682.0,Emiliano Zapata 1Ra Secc,Milpa Alta,False,Emiliano Zapata 1Ra Secc — Milpa Alta,0.0,False
5074,0.2147,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.207046,-98.983095,1997.0,2024.0,33.04,46.0,12.96,0.48000000000000004,27,MEDIO,12556.0,Noxalco,Milpa Alta,False,Noxalco — Milpa Alta,0.0,False
5075,0.2235,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.219781,-98.991076,1996.0,2023.0,31.91,48.15,16.24,0.6014814814814814,27,MEDIO,12552.0,Barrio Xaltipac,Milpa Alta,False,Barrio Xaltipac — Milpa Alta,0.0,False
5076,0.22389999999999999,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.241642,-98.985918,1996.0,2023.0,42.99,56.1,13.11,0.4855555555555555,24,MEDIO,12661.0,La Asuncion,Tlahuac,False,La Asuncion — Tlahuac,0.0,False
5077,0.26140000000000002,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.277219,-99.167062,1996.0,2019.0,49.43,32.35,-17.08,-0.7426086956521738,20,RECUPERACION_O_ESTABLE,12880.0,Chimalcoyotl,Tlalpan,False,Chimalcoyotl — Tlalpan,0.0,False
5078,0.2616,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.293057,-99.178222,1998.0,2025.0,51.34,73.0,21.659999999999997,0.8022222222222221,8,MEDIO,12686.0,Tlalpan Centro I,Tlalpan,False,Tlalpan Centro I — Tlalpan,0.0,False
5079,0.27550000000000002,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.319722,-99.145861,1996.0,2025.0,65.83,94.0,28.17,0.9713793103448276,14,MEDIO,11670.0,San Pablo Tepetlapa,Coyoacan,False,San Pablo Tepetlapa — Coyoacan,0.0,False
5080,0.58209999999999995,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.339194,-99.029444,1996.0,2025.0,22.77,85.0,62.230000000000004,2.1458620689655175,18,ALTO,12305.0,Reforma Politica,Iztapalapa,False,Reforma Politica — Iztapalapa,0.0,False
5081,0.27650000000000002,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.341083,-99.201667,1996.0,2025.0,100.87,50.0,-50.870000000000005,-1.754137931034483,10,RECUPERACION_O_ESTABLE,11080.0,Progreso,Alvaro Obregon,True,Progreso — Alvaro Obregon,0.0,True
5082,0.6381,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.352678,-99.160169,1997.0,2020.0,57.82,88.18,30.360000000000007,1.3200000000000003,18,ALTO,11559.0,Del Carmen,Coyoacan,False,Del Carmen — Coyoacan,0.0,False
