num_pozo,nom_pozo,cve_acui,nom_acuif,nom_edo,latitud,longitud,elev_brocal_m,anio_primero,anio_ultimo,pne_primero_m,pne_ultimo_m,delta_pne_m,anios_span,tasa_abatimiento_m_anio,n_obs,en_bbox_piloto,nivel_estres
5082,0.6381,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.352678,-99.160169,2252.0,1997.0,2020.0,57.82,88.18,30.360000000000007,23.0,1.3200000000000003,18.0,True,ALTO
5086,0.64319999999999999,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.401781,-99.176152,2242.0,1997.0,2011.0,48.24,65.0,16.759999999999998,14.0,1.197142857142857,9.0,True,ALTO
5100,.114-B,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.297525,-99.209399,2381.0,1998.0,2025.0,63.33,85.0,21.67,27.0,0.8025925925925926,20.0,True,MEDIO
5078,0.2616,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.293057,-99.178222,2283.0,1998.0,2025.0,51.34,73.0,21.659999999999997,27.0,0.8022222222222221,8.0,True,MEDIO
5153,.RS-25,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.3272,-99.16182,2261.0,1997.0,2007.0,64.16,71.25,7.090000000000003,10.0,0.7090000000000003,8.0,True,MEDIO
5135,.E-409,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.410397,-99.158517,2231.0,1997.0,2025.0,39.87,53.6,13.730000000000004,28.0,0.490357142857143,5.0,True,MEDIO
5085,0.64019999999999999,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.3575,-99.181667,2282.0,1996.0,2025.0,77.7,91.9,14.200000000000003,29.0,0.4896551724137932,21.0,True,MEDIO
5099,.113-B,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.293171,-99.193462,2325.0,1997.0,2025.0,90.81,103.0,12.189999999999998,28.0,0.4353571428571428,20.0,True,MEDIO
5136,.FA-03V,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.440717,-99.188953,2247.0,1996.0,2025.0,66.8,79.0,12.200000000000003,29.0,0.4206896551724139,24.0,True,MEDIO
5150,.RS-13,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.29469,-99.15504,2247.39,1998.0,2011.0,61.32,66.0,4.68,13.0,0.36,9.0,True,MEDIO
5119,.B-107,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.376278,-99.264194,2520.0,1997.0,2025.0,122.83,132.0,9.170000000000002,28.0,0.32750000000000007,20.0,True,MEDIO
5108,0.27879999999999999,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.350044,-99.216342,2409.5,1996.0,2015.0,182.95,187.43,4.480000000000018,19.0,0.2357894736842115,20.0,True,LEVE
5151,.RS-17,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.29998,-99.170779,2282.33,1998.0,2005.0,72.72,72.56,-0.1599999999999966,7.0,-0.02285714285714237,4.0,True,RECUPERACION_O_ESTABLE
5098,.102-B,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.305947,-99.227097,2421.0,1996.0,2017.0,91.11,88.99,-2.1200000000000045,21.0,-0.10095238095238117,18.0,True,RECUPERACION_O_ESTABLE
5109,.2798V,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.31119,-99.194569,2319.0,1996.0,2019.0,102.3,98.87,-3.4299999999999926,23.0,-0.14913043478260837,21.0,True,RECUPERACION_O_ESTABLE
