titulo,titular,uso,volumen_m3_anio,volumen_hm3_anio,volumen_punto_m3_anio,volumen_punto_hm3_anio,fecha_titulo,latitud,longitud,id_colonia,colonia,alcaldia,en_poniente,label,en_bbox_piloto
811078,"TELEVISA, S.A. DE C.V.",SERVICIOS,450000.0,0.45,450000.0,0.45,2019-06-27,19.30394711111111,-99.15500536111112,11677.0,Santa Ursula Coapa,Coyoacan,False,Santa Ursula Coapa — Coyoacan,False
812744,FIM-TIERRA UNO S. DE R.L. DE C,SERVICIOS,270720.0,0.27072,270720.0,0.27072,2021-09-09,19.45144847222222,-99.19645011111112,12494.0,Pensil Norte,Miguel Hidalgo,True,Pensil Norte — Miguel Hidalgo,True
816905,LERMA SA,SERVICIOS,14701.0,0.014701,14701.0,0.014701,2019-12-20,19.430286,-99.15749930555556,11818.0,Juarez,Cuauhtemoc,False,Juarez — Cuauhtemoc,False
823884,EMBOTELLADORA MEXICANA DE BEBIDAS REFRESCANTES S. DE R.L. DE C,INDUSTRIAL,1128200.0,1.1282,1128200.0,1.1282,2022-10-07,19.45648705555556,-99.15787566666668,11815.0,Atlampa,Cuauhtemoc,False,Atlampa — Cuauhtemoc,False
827554,INMOBILIARIA BIMBO AZCAPOTZALCO S.A. DE C.V.,DIFERENTES USOS,91000.0,0.091,91000.0,0.091,2020-10-28,19.491445777777777,-99.19247186111112,11412.0,Santo Domingo,Azcapotzalco,False,Santo Domingo — Azcapotzalco,False
833165,LA IGLESIA DE JESUCRISTO DE LOS SANTOS DE LOS ULTIMOS DIAS EN MEXICO A.R.,SERVICIOS,100000.0,0.1,100000.0,0.1,2021-08-02,19.535280694444445,-99.15194425,11909.0,Solidaridad Nacional,Gustavo A. Madero,False,Solidaridad Nacional — Gustavo A. Madero,False
836038,"INMOBILIARIA GOCOS, S.A. DE C.V.",SERVICIOS,1500.0,0.0015,750.0,0.00075,2021-09-21,19.330278166666663,-99.21027811111112,11371.0,Jardines Del Pedregal,Alvaro Obregon,True,Jardines Del Pedregal — Alvaro Obregon,True
836038,"INMOBILIARIA GOCOS, S.A. DE C.V.",SERVICIOS,1500.0,0.0015,750.0,0.00075,2021-09-21,19.32638925,-99.21083361111113,11371.0,Jardines Del Pedregal,Alvaro Obregon,True,Jardines Del Pedregal — Alvaro Obregon,True
836615,"ASOCIACION CRISTIANA DE JOVENES DE LA CD. DE MEXICO (YMCA), A.C.",SERVICIOS,7106.4,0.0071064,7106.4,0.0071064,2024-02-22,19.43750347222222,-99.1802777777778,12481.0,Anahuac,Miguel Hidalgo,True,Anahuac — Miguel Hidalgo,True
837932,NACIONAL DE COBRE S.A. DE C.V.,INDUSTRIAL,3383.0,0.003383,1691.5,0.0016915,2021-05-25,19.493974666666663,-99.16308366666668,11420.0,Industrial Vallejo,Azcapotzalco,False,Industrial Vallejo — Azcapotzalco,False
837932,NACIONAL DE COBRE S.A. DE C.V.,INDUSTRIAL,4100.0,0.0041,2050.0,0.00205,2021-05-25,19.49294752777778,-99.16180572222224,11420.0,Industrial Vallejo,Azcapotzalco,False,Industrial Vallejo — Azcapotzalco,False
838721,"COMPAÑIA LANERA DE MEXICO, S.A. DE C.V.",INDUSTRIAL,19814.0,0.019814,19814.0,0.019814,2021-06-04,19.45778052777778,-99.21194425,12468.0,Nueva Argentina,Miguel Hidalgo,True,Nueva Argentina — Miguel Hidalgo,True
839279,"PROMOTORA FM, S.A. DE C.V.",SERVICIOS,264880.0,0.26488,264880.0,0.26488,2022-07-04,19.39250322222222,-99.27000016666666,11756.0,Lomas Del Chamizal 4Ta Secc,Cuajimalpa De Morelos,True,Lomas Del Chamizal 4Ta Secc — Cuajimalpa De Morelos,True
839290,"RESIDENCIAL BOSQUES & INTERLOMAS, S.A. DE C.V.",SERVICIOS,174040.0,0.17404,87020.0,0.08702,2023-06-30,19.38389211111111,-99.2908335,11751.0,La Navidad,Cuajimalpa De Morelos,True,La Navidad — Cuajimalpa De Morelos,True
839290,"RESIDENCIAL BOSQUES & INTERLOMAS, S.A. DE C.V.",SERVICIOS,1000.0,0.001,500.0,0.0005,2023-06-30,19.38805863888889,-99.27888905555557,11746.0,Lomas De Vista Hermosa,Cuajimalpa De Morelos,True,Lomas De Vista Hermosa — Cuajimalpa De Morelos,True
839404,"PRODUCTOS MARINELA, S.A. DE C.V.",INDUSTRIAL,5000.0,0.005,5000.0,0.005,2021-07-13,19.458336416666665,-99.22361144444444,26655.0,Lomas De Sotelo,Miguel Hidalgo,True,Lomas De Sotelo — Miguel Hidalgo,True
840620,"BEBIDAS PURIFICADAS, S, DE R.L. DE C.V.",INDUSTRIAL,510000.0,0.51,510000.0,0.51,2024-05-23,19.38889438888889,-99.12333338888888,12142.0,Maestros De Iztacalco,Iztacalco,False,Maestros De Iztacalco — Iztacalco,False
842195,"FERROCARRIL Y TERMINAL DEL VALLE DE MEXICO, S.A. DE C.V.",SERVICIOS,5000.0,0.005,5000.0,0.005,2022-04-05,19.526669583333334,-99.18472222222222,11999.0,Santa Rosa,Gustavo A. Madero,False,Santa Rosa — Gustavo A. Madero,False
842196,"INMOBILIARIA RONCESVALLES, S.A. DE C.V.",INDUSTRIAL,20000.0,0.02,20000.0,0.02,2021-09-21,19.366667083333333,-99.10527813888888,12165.0,Granjas San Antonio,Iztapalapa,False,Granjas San Antonio — Iztapalapa,False
842910,"FIM-TIERRA UNO, S. DE R.L. DE C.V.",SERVICIOS,360000.0,0.36,360000.0,0.36,2021-10-22,19.44500044444445,-99.20250016666668,12517.0,Ampl Granada,Miguel Hidalgo,True,Ampl Granada — Miguel Hidalgo,True
843827,"CIA HARINERA DE MEXICO, S.A. DE C.V.",INDUSTRIAL,4555.0,0.004555,4555.0,0.004555,2022-10-21,19.456308472222226,-99.15572222222222,11815.0,Atlampa,Cuauhtemoc,False,Atlampa — Cuauhtemoc,False
844448,"GRUPO PROMOTOR DE HUIXQUILUCAN, S. DE R.L. DE C.V.",SERVICIOS,200000.0,0.2,200000.0,0.2,2022-08-30,19.381863972222224,-99.29630655555556,11742.0,Ahuatenco,Cuajimalpa De Morelos,True,Ahuatenco — Cuajimalpa De Morelos,True
844816,"ENVASADORAS DE AGUAS EN MEXICO, S. DE R.L. DE C.V.",INDUSTRIAL,332400.0,0.3324,332400.0,0.3324,2022-07-19,19.491667083333333,-99.16416702777778,11420.0,Industrial Vallejo,Azcapotzalco,False,Industrial Vallejo — Azcapotzalco,False
844865,COMERCIAL INMOBILIARIA REAL DE MEXICO S.A. DE C.V.,SERVICIOS,160000.0,0.16,160000.0,0.16,2023-12-18,19.385812527777777,-99.17529427777778,11536.0,Ciudad De Los Deportes,Benito Juarez,False,Ciudad De Los Deportes — Benito Juarez,False
845764,"INDUSTRIAS LACTEAS DE VALLEJO, S. DE R.L. DE C.V.",INDUSTRIAL,46018.0,0.046018,46018.0,0.046018,2022-06-03,19.495280611111117,-99.1633335,11420.0,Industrial Vallejo,Azcapotzalco,False,Industrial Vallejo — Azcapotzalco,False
846336,"CIBANCO, S.A. I.B.M COMO FIDUCIARIO DEL FIDEICOMISO CIB/2191",SERVICIOS,30000.0,0.03,30000.0,0.03,2023-07-19,19.43889163888889,-99.20527811111111,12516.0,Granada,Miguel Hidalgo,True,Granada — Miguel Hidalgo,True
847184,"BEBIDAS PURIFICADAS, S. DE R.L. DE C.V.",INDUSTRIAL,511392.0,0.511392,511392.0,0.511392,2022-08-05,19.388058166666667,-99.12361144444444,12142.0,Maestros De Iztacalco,Iztacalco,False,Maestros De Iztacalco — Iztacalco,False
847477,"OPTIFIN, S.A.P.I. DE C.V.",SERVICIOS,285200.0,0.2852,285200.0,0.2852,2022-07-01,19.21083655555556,-98.95111191666668,12677.0,Barrio San Miguel Mixquic,Tlahuac,False,Barrio San Miguel Mixquic — Tlahuac,False
847588,"ODIPARK 990, S.A.",INDUSTRIAL,70000.0,0.07,70000.0,0.07,2022-07-19,19.505000194444445,-99.17583383333334,11421.0,Ferreria,Azcapotzalco,False,Ferreria — Azcapotzalco,False
850539,"CONSTRUCTORA EL TOREO, S.A. DE C.V.",SERVICIOS,300000.0,0.3,300000.0,0.3,2023-11-09,19.453614194444445,-99.21888888888888,26655.0,Lomas De Sotelo,Miguel Hidalgo,True,Lomas De Sotelo — Miguel Hidalgo,True
850978,"INTERLOMAS PARQUE CLUB, S.A. DE C.V.",SERVICIOS,1235000.0,1.235,1235000.0,1.235,2022-12-12,19.381392055555555,-99.29416705555556,11751.0,La Navidad,Cuajimalpa De Morelos,True,La Navidad — Cuajimalpa De Morelos,True
852626,"COMPAÑIA HULERA TACUBA, S.A. DE C.V.",INDUSTRIAL,30000.0,0.03,15000.0,0.015,2023-11-23,19.45805608333333,-99.19944486111112,12474.0,Argentina Antigua,Miguel Hidalgo,True,Argentina Antigua — Miguel Hidalgo,True
852626,"COMPAÑIA HULERA TACUBA, S.A. DE C.V.",INDUSTRIAL,30000.0,0.03,15000.0,0.015,2023-11-23,19.458056,-99.19888944444445,12474.0,Argentina Antigua,Miguel Hidalgo,True,Argentina Antigua — Miguel Hidalgo,True
854245,"PRONAV, S.A. DE C.V.",INDUSTRIAL,15000.0,0.015,15000.0,0.015,2023-04-03,19.35805838888889,-98.98611122222222,12275.0,San Miguel Teotongo (Secc Las Torr),Iztapalapa,False,San Miguel Teotongo (Secc Las Torr) — Iztapalapa,False
857336,"BUNGE COMERCIAL, S.A. DE C.V.",INDUSTRIAL,30000.0,0.03,30000.0,0.03,2024-08-14,19.497780694444444,-99.16722255555555,11420.0,Industrial Vallejo,Azcapotzalco,False,Industrial Vallejo — Azcapotzalco,False
859646,INMOBILIARIA PARQUE REFORMA S.A. DE C.V.,SERVICIOS,315360.0,0.31536,315360.0,0.31536,2024-03-08,19.440555555555555,-99.15527777777778,11813.0,Santa Maria La Ribera,Cuauhtemoc,False,Santa Maria La Ribera — Cuauhtemoc,False
861259,"INMUEBLES GENERAL, S.A. DE C.V.",SERVICIOS,29864.0,0.029864,29864.0,0.029864,2024-06-26,19.420558444444445,-99.1444443888889,11820.0,Doctores,Cuauhtemoc,False,Doctores — Cuauhtemoc,False
862680,"NUGAR, S.A. DE C.V.",INDUSTRIAL,68575.0,0.068575,68575.0,0.068575,2024-07-09,19.507641638888888,-99.21647211111112,11429.0,Prados Del Rosario,Azcapotzalco,False,Prados Del Rosario — Azcapotzalco,False
865770,"INMOBILIARIA NAVIGATOR, S.C. A.C.",SERVICIOS,100000.0,0.1,100000.0,0.1,2025-04-14,19.498892027777774,-99.16194425,11420.0,Industrial Vallejo,Azcapotzalco,False,Industrial Vallejo — Azcapotzalco,False
13DFE100728,"MONDELEZ MEXICO, S. DE R.L. DE C.V.",INDUSTRIAL,22000.0,0.022,22000.0,0.022,1998-11-04,19.46918183333333,-99.1041639722222,12038.0,Gertrudis Sanchez 1Ra Secc,Gustavo A. Madero,False,Gertrudis Sanchez 1Ra Secc — Gustavo A. Madero,False
DFE100006,LA IGLESIA DE JESUCRISTO DE LOS SANTOS DE LOS ULTIMOS DIAS EN MEXICO A.R.,SERVICIOS,130000.0,0.13,130000.0,0.13,1994-11-29,19.53583616666667,-99.15083375,11909.0,Solidaridad Nacional,Gustavo A. Madero,False,Solidaridad Nacional — Gustavo A. Madero,False
DFE100008,"FERMIC, S.A. DE C.V.",INDUSTRIAL,513000.0,0.513,513000.0,0.513,1994-06-08,19.32536111111111,-99.08672222222222,12384.0,Granjas Estrella,Iztapalapa,False,Granjas Estrella — Iztapalapa,False
DFE100009,"INDUX, S.A. DE C.V.",INDUSTRIAL,18000.0,0.018,18000.0,0.018,1994-06-30,19.39552677777778,-99.19766694444444,11127.0,Bosques 1Ra Secc,Alvaro Obregon,True,Bosques 1Ra Secc — Alvaro Obregon,True
DFE100047,CENTRO DEPORTIVO CHAPULTEPEC A.C.,SERVICIOS,6978.0,0.006978,6978.0,0.006978,1995-05-30,19.42811675,-99.18016727777778,12458.0,1Ra Secc Del Bosque De Chapultepec,Miguel Hidalgo,True,1Ra Secc Del Bosque De Chapultepec — Miguel Hidalgo,True
DFE100060,"COBRE DE MEXICO, S.A. DE C.V.",INDUSTRIAL,149073.0,0.149073,149073.0,0.149073,1995-04-11,19.45833608333333,-99.17361144444445,11481.0,San Salvador Xochimanca,Azcapotzalco,False,San Salvador Xochimanca — Azcapotzalco,False
DFE100064,"LAVANDERIA LA EUROPEA, S.A. DE C.V.",INDUSTRIAL,77328.0,0.077328,38664.0,0.038664,1994-11-22,19.440555694444445,-99.17277827777778,12481.0,Anahuac,Miguel Hidalgo,True,Anahuac — Miguel Hidalgo,True
DFE100064,"LAVANDERIA LA EUROPEA, S.A. DE C.V.",INDUSTRIAL,85920.0,0.08592,42960.0,0.04296,1994-11-22,19.440555888888888,-99.17305558333334,12481.0,Anahuac,Miguel Hidalgo,True,Anahuac — Miguel Hidalgo,True
DFE100074,"FUNDACION DE AYUDA A LA ANCIANIDAD, INSTITUCION DE ASISTENCIA PRIVADA",SERVICIOS,1700.0,0.0017,1700.0,0.0017,1995-07-12,19.345415666666664,-99.20158344444444,11065.0,San Angel,Alvaro Obregon,True,San Angel — Alvaro Obregon,True
DFE100080,"NUEVA ESCUELA JUSTO SIERRA, A.C.",SERVICIOS,52024.0,0.052024,52024.0,0.052024,1995-03-29,19.461667138888888,-99.15305577777778,11814.0,Santa Maria Insurgentes,Cuauhtemoc,False,Santa Maria Insurgentes — Cuauhtemoc,False
DFE100098,"INDUSTRIAS UNIDAS, S.A. DE C.V.",INDUSTRIAL,17187.0,0.017187,17187.0,0.017187,1995-07-25,19.47555483333333,-99.10277794444444,11976.0,Ampl San Juan De Aragon,Gustavo A. Madero,False,Ampl San Juan De Aragon — Gustavo A. Madero,False
DFE100111,"COMPAÑIA PAPELERA EL FENIX, S.A. DE C.V.",INDUSTRIAL,15000.0,0.015,15000.0,0.015,1995-07-17,19.465535694444444,-99.1563341388889,11489.0,Ampl Del Gas,Azcapotzalco,False,Ampl Del Gas — Azcapotzalco,False
