titulo,titular,uso,volumen_m3_anio,volumen_hm3_anio,fecha_titulo,colonia,alcaldia,en_poniente
04TLX150147/18HMDL18,"MUNICIPIO DE HUAMANTLA, TLAX.",PÚBLICO URBANO,66698.0,0.066698,2018-10-15,Barrio La Guadalupe,Tlahuac,False
08MEX103013/12HMDL12,"ORGANISMO PÚBLICO DESCENTRALIZADO PARA LA PRESTACIÓN DE LOS SERVICIOS DE AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO DEL MUNICIPIO DE METEPEC",PÚBLICO URBANO,483716.0,0.483716,1997-09-18,Pueblo San Nicolas Totolapan,La Magdalena Contreras,True
08MEX106021/12IMGR01,GOBIERNO DEL DISTRITO FEDERAL (DIRECCIÓN GENERAL DE CONSTRUCCIÓN Y OPERACIÓN HIDRÁULICA),DIFERENTES USOS,500976.0,0.500976,2001-02-08,Campestre Aragon,Gustavo A. Madero,False
08MEX109124/12HMDL14,AGUA Y SANEAMIENTO DE TOLUCA,PÚBLICO URBANO,96512.0,0.096512,2013-05-13,Campestre Churubusco,Coyoacan,False
13DFE100002/26IMDA16,"PAPELERA IRUÑA, S.A. DE C.V.",DIFERENTES USOS,150000.0,0.15,1994-05-04,La Esperanza,Iztapalapa,False
13DFE100005/26IMDA16,"LA IGLESIA DE JESUCRISTO DE LOS SANTOS DE LOS ULTIMOS DIAS EN MEXICO, A.R.",DIFERENTES USOS,21024.0,0.021024,1994-11-29,Zona Escolar Oriente,Gustavo A. Madero,False
13DFE100027/26FMGR07,"LEVADURA AZTECA, S.A. DE C.V.",INDUSTRIAL,10000.0,0.01,1994-11-11,Unidad Hab Nonoalco Tlatelolco,Cuauhtemoc,False
13DFE100036/26FMDA17,"BAÑOS MEDICINALES DEL PEÑON, S.A.",INDUSTRIAL,5150.0,0.00515,1995-08-08,PeãOn De Los BaãOs,Venustiano Carranza,False
13DFE100042/26EMDA09,"CLUB CAMPESTRE DE LA CIUDAD DE MEXICO, S. A. DE C. V.",SERVICIOS,22900.0,0.0229,1995-05-31,Country Club,Coyoacan,False
13DFE100061/26FMDA17,"BAÑOS MANOLITA, S.A.",INDUSTRIAL,4069.0,0.004069,1995-07-21,Sector Popular,Iztapalapa,False
13DFE100062/26FMGR03,"PROPIMEX, S.A. DE C.V.",INDUSTRIAL,417255.0,0.417255,1994-11-11,Atlampa,Cuauhtemoc,False
13DFE100063/26FMGR05,"TIENDAS AURRERÁ, S. DE R.L. DE C.V.",INDUSTRIAL,15012.0,0.015012,1995-07-27,Obrera,Cuauhtemoc,False
13DFE100067/26FMGR05,"CERVECERÍA MODELO, S.A. DE C.V.",INDUSTRIAL,95562.0,0.095562,1995-04-18,Doctores,Cuauhtemoc,False
13DFE100073/26FMGR06,"COMPAÑÍA INDUSTRIAL DE XALOSTOC, S.A. DE C.V.",INDUSTRIAL,200000.0,0.2,1995-03-05,1Ra Secc Del Bosque De Chapultepec,Miguel Hidalgo,True
13DFE100076/26FMOC09,"BAÑOS BOLIVAR DE MEXICO, S. A. DE C. V.",INDUSTRIAL,5055.5,0.0050555,1995-07-11,Centro,Cuauhtemoc,False
13DFE100083/26FMDA15,"ARVATO DE MEXICO, S.A. DE C.V.",INDUSTRIAL,9944.0,0.009944,1995-07-21,San Salvador Xochimanca,Azcapotzalco,False
13DFE100084/26FMDA11,"ACEITES Y JABONES, S.A. DE C.V.",INDUSTRIAL,12399.0,0.012399,1995-03-09,Santa Coleta,Gustavo A. Madero,False
13DFE100094/26FMGR03,"PROPIMEX, S. A. DE C. V.",INDUSTRIAL,236880.0,0.23688,1994-12-22,Santa Ursula Coapa,Coyoacan,False
13DFE100095/26FMGR03,"PROPIMEX, S.A. DE C.V.",INDUSTRIAL,110000.0,0.11,1994-12-22,Gral Pedro Maria Anaya,Benito Juarez,False
13DFE100100/26FMGR03,"TENERIA MERCURIO, S.A. DE C.V.",INDUSTRIAL,50000.0,0.05,1995-04-07,Granjas Mexico,Iztacalco,False
13DFE100101/26FMDA09,"CERVECERIA MODELO, S.A. DE C.V.",INDUSTRIAL,2194560.0,2.19456,1996-05-17,Granada,Miguel Hidalgo,True
13DFE100114/26EMDA16,"SOCIEDAD DE BENEFICENCIA ESPAÑOLA, I.A.P.",SERVICIOS,32840.0,0.03284,1995-06-01,Granada,Miguel Hidalgo,True
13DFE100115/26EMDA16,"SOCIEDAD DE BENEFICENCIA ESPAÑOLA, I.A.P.",SERVICIOS,15445.0,0.015445,1995-06-01,Refineria 18 De Marzo,Miguel Hidalgo,True
13DFE100118/26EMDA08,"CENTRO ASTURIANO DE MÉXICO, A.C.",SERVICIOS,236520.0,0.23652,1995-12-06,Cove,Alvaro Obregon,True
13DFE100120/26FMDA17,"COPAMEX CORRUGADOS, S. A. DE C. V.",INDUSTRIAL,5900.0,0.0059,1995-07-13,Industrial Vallejo,Azcapotzalco,False
13DFE100124/26FMDA08,"PRAXAIR MÉXICO, S. DE R.L. DE C.V.",INDUSTRIAL,311040.0,0.31104,1995-09-07,San Salvador Xochimanca,Azcapotzalco,False
13DFE100125/26FMDA09,"EXTRACTOS Y MALTAS, S. A. DE C. V.",INDUSTRIAL,103116.0,0.103116,1995-07-28,Industrial Vallejo,Azcapotzalco,False
13DFE100126/26FMGR06,"FERMIC, S.A. DE C.V.",INDUSTRIAL,315360.0,0.31536,1995-08-27,Granjas Estrella,Iztapalapa,False
13DFE100130/26FMGR06,"GENERAL DE INMUEBLES INDUSTRIALES, S.A. DE C.V.",INDUSTRIAL,38669.0,0.038669,1996-08-14,Santa Cruz Acayucan,Azcapotzalco,False
13DFE100134/26FMDA11,COLGATE PALMOLIVE S.A. DE C.V.,INDUSTRIAL,274626.0,0.274626,1995-11-06,Panteon Frances,Miguel Hidalgo,True
13DFE100136/26EMDA16,"INMUEBLES GENERAL, S.A. DE C.V.",SERVICIOS,223665.0,0.223665,1995-06-28,Ampl Granada,Miguel Hidalgo,True
13DFE100138/26FMDA16,"HIELO IDEAL, S.A.",INDUSTRIAL,130000.0,0.13,1995-09-07,Santa Anita,Iztacalco,False
13DFE100139/26FMDA16,"HIELO IDEAL, S.A.",INDUSTRIAL,106063.0,0.106063,1995-09-07,San Diego Churubusco,Coyoacan,False
13DFE100142/26FMGR06,"HARINERA NACIONAL, S.A. DE C.V.",INDUSTRIAL,517.0,0.000517,1995-09-07,Ex Hipodromo De Peralvillo,Cuauhtemoc,False
13DFE100143/26FMDA09,"ABBOTT LABORATORIES DE MÉXICO, S. A. DE C. V.",INDUSTRIAL,151180.0,0.15118,1996-05-16,Ejido Santa Ursula Coapa,Coyoacan,False
13DFE100144/26FMDA09,"CERILLOS Y FOSFOROS LA IMPERIAL, S.A. DE C.V.",INDUSTRIAL,10000.0,0.01,1996-07-04,Atlampa,Cuauhtemoc,False
13DFE100153/26FMGR06,"VIDRIERA MÉXICO, S.A. DE C.V.",INDUSTRIAL,61000.0,0.061,1995-11-06,Ampl Granada,Miguel Hidalgo,True
13DFE100158/26FMDA08,"HOTEL GENEVE, S.A. DE C.V.",INDUSTRIAL,12423.0,0.012423,1996-09-19,Juarez,Cuauhtemoc,False
13DFE100167/26FMGR07,"DEACERO, S.A. DE C.V.",INDUSTRIAL,6523.0,0.006523,1996-11-27,Guadalupe Tepeyac,Gustavo A. Madero,False
13DFE100169/26FMGR06,"ROVILAN, S.A. DE C.V.",INDUSTRIAL,320207.0,0.320207,1996-05-06,Villa Xochimilco,Xochimilco,False
13DFE100170/26EMDA15,"CONDOMINOS PLAZA TEPEYAC, A.C.",SERVICIOS,64581.0,0.064581,1996-09-19,Guadalupe Tepeyac,Gustavo A. Madero,False
13DFE100171/26FMDA12,"PROCTER & GAMBLE, MANUFACTURA S. DE R.L. DE C.V.",INDUSTRIAL,30000.0,0.03,1995-11-15,Santa Coleta,Gustavo A. Madero,False
13DFE100176/26FMGR06,TEODORO AMERLINCK Y ZIRION,INDUSTRIAL,1002.0,0.001002,1996-08-07,Tlacopac,Alvaro Obregon,True
13DFE100177/26FMDA08,"CROWN ENVASES MÉXICO, S.A. DE C.V.",INDUSTRIAL,183.0,0.000183,1996-09-05,Tablas De San Agustin,Gustavo A. Madero,False
13DFE100182/26FMDA16,"MALTA-TEXO DE MEXICO, S. A. DE C.V.",INDUSTRIAL,70480.0,0.07048,1995-12-12,Industrial Vallejo,Azcapotzalco,False
13DFE100188/26FMDA12,"DERIVADOS DE FRUTAS, S.A. DE C.V.",INDUSTRIAL,215120.0,0.21512,1995-11-28,Viejo Ejido Santa Ursula Coapa,Coyoacan,False
13DFE100200/26FMDA08,"PINTURAS OPTIMUS, S.A. DE C.V.",INDUSTRIAL,14800.0,0.0148,1995-12-28,Santa Maria Insurgentes,Cuauhtemoc,False
13DFE100309/26HMGC18,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,89703.36,0.08970336,1996-06-28,San Francisco Tecoxpa,Milpa Alta,False
13DFE100508/26FMGR06,"HERDEZ, S.A. DE C.V.",INDUSTRIAL,42052.0,0.042052,1996-05-06,Nueva Argentina,Miguel Hidalgo,True
13DFE100509/26APGR06,MARÍA DELFINA RAMÍREZ CRUZ,AGRÍCOLA,75.0,7.5e-05,1996-05-17,Desierto De Los Leones,Cuajimalpa De Morelos,True
13DFE100511/26FMDA16,"PRODUCTOS MARINELA, S. A. DE C.V.",INDUSTRIAL,25140.0,0.02514,1996-03-07,Unidad Hab San Pablo Xalpa,Azcapotzalco,False
13DFE100547/26FMDA11,"PROCTER & GAMBLE MANUFACTURA, S. DE R.L. DE C.V.",INDUSTRIAL,33467.0,0.033467,1996-05-06,Santa Coleta,Gustavo A. Madero,False
13DFE100550/26EMDA10,SECRETARIA DE HACIENDA Y CREDITO PUBLICO,SERVICIOS,65167.0,0.065167,1997-07-15,Centro Urbano Benito Juarez,Cuauhtemoc,False
13DFE100551/26EMDA08,SECRETARIA DE HACIENDA Y CREDITO PUBLICO,SERVICIOS,2334.0,0.002334,1997-07-15,Gertrudis Sanchez 1Ra Secc,Gustavo A. Madero,False
