titulo,titular,uso,volumen_m3_anio,volumen_hm3_anio,volumen_punto_m3_anio,volumen_punto_hm3_anio,fecha_titulo,latitud,longitud,cve_acui,nom_acui,en_bbox_piloto,fuente
811078,"TELEVISA, S.A. DE C.V.",SERVICIOS,450000.0,0.45,450000.0,0.45,2019-06-27,19.30394711111111,-99.15500536111112,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
814550,MUNICIPIO DE HUIXQUILUCAN,PÚBLICO URBANO,990171.0,0.990171,495085.5,0.4950855,2024-01-15,19.409445055555555,-99.27250016666666,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
814550,MUNICIPIO DE HUIXQUILUCAN,PÚBLICO URBANO,145125.0,0.145125,72562.5,0.0725625,2024-01-15,19.426115527777775,-99.34611108333333,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
816905,LERMA SA,SERVICIOS,14701.0,0.014701,14701.0,0.014701,2019-12-20,19.430286,-99.15749930555556,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
836038,"INMOBILIARIA GOCOS, S.A. DE C.V.",SERVICIOS,1500.0,0.0015,750.0,0.00075,2021-09-21,19.330278166666663,-99.21027811111112,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
836038,"INMOBILIARIA GOCOS, S.A. DE C.V.",SERVICIOS,1500.0,0.0015,750.0,0.00075,2021-09-21,19.32638925,-99.21083361111113,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
836615,"ASOCIACION CRISTIANA DE JOVENES DE LA CD. DE MEXICO (YMCA), A.C.",SERVICIOS,7106.4,0.0071064,7106.4,0.0071064,2024-02-22,19.43750347222222,-99.1802777777778,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
839279,"PROMOTORA FM, S.A. DE C.V.",SERVICIOS,264880.0,0.26488,264880.0,0.26488,2022-07-04,19.39250322222222,-99.27000016666666,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
839290,"RESIDENCIAL BOSQUES & INTERLOMAS, S.A. DE C.V.",SERVICIOS,174040.0,0.17404,87020.0,0.08702,2023-06-30,19.38389211111111,-99.2908335,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
839290,"RESIDENCIAL BOSQUES & INTERLOMAS, S.A. DE C.V.",SERVICIOS,1000.0,0.001,500.0,0.0005,2023-06-30,19.38805863888889,-99.27888905555557,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
841645,REYES LIRA CONSTRUCTORES S.A. DE C.V.,SERVICIOS,750000.0,0.75,750000.0,0.75,2021-10-26,19.390555555555554,-99.29555555555557,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
