nombre_mun,entidad,sps,msm,ahorro_uso_eficiente,fecha_corte
Alvaro Obregon,Ciudad de México,SIN SEQUIA,sin dato,SIN REDUCCION,20260131
Azcapotzalco,Ciudad de México,SIN SEQUIA,sin dato,SIN REDUCCION,20260131
Benito Juarez,Ciudad de México,SIN SEQUIA,sin dato,SIN REDUCCION,20260131
Coyoacan,Ciudad de México,SIN SEQUIA,sin dato,SIN REDUCCION,20260131
Cuajimalpa De Morelos,Ciudad de México,SIN SEQUIA,sin dato,SIN REDUCCION,20260131
Cuauhtemoc,Ciudad de México,SIN SEQUIA,sin dato,SIN REDUCCION,20260131
Gustavo A. Madero,Ciudad de México,SIN SEQUIA,sin dato,SIN REDUCCION,20260131
Iztacalco,Ciudad de México,SIN SEQUIA,sin dato,SIN REDUCCION,20260131
Iztapalapa,Ciudad de México,SIN SEQUIA,sin dato,SIN REDUCCION,20260131
La Magdalena Contreras,Ciudad de México,SIN SEQUIA,sin dato,SIN REDUCCION,20260131
Miguel Hidalgo,Ciudad de México,SIN SEQUIA,sin dato,SIN REDUCCION,20260131
Milpa Alta,Ciudad de México,SIN SEQUIA,sin dato,SIN REDUCCION,20260131
Tlahuac,Ciudad de México,SIN SEQUIA,sin dato,SIN REDUCCION,20260131
Tlalpan,Ciudad de México,SIN SEQUIA,sin dato,SIN REDUCCION,20260131
Venustiano Carranza,Ciudad de México,SIN SEQUIA,sin dato,SIN REDUCCION,20260131
Xochimilco,Ciudad de México,SIN SEQUIA,sin dato,SIN REDUCCION,20260131
